#item,dstpn,mult,qty,dst,mark,provider,path
20series-1x1_160mm.fcstd,,2,0,8020,,,
20series-1x1_500mm.fcstd,,4,0,8020,20-2020-2440mm,,
20series-1x1_545mm.fcstd,,4,0,8020,20-2020-2440mm,,
20series-1x1-60mm.fcstd,,1,0,8020,,,
20series-1x1-crossbar.fcstd,,1,0,8020,,,
20series-1x1-postX.fcstd,,2,0,8020,,,
20series-1x1-postY.fcstd,,2,0,8020,20-2020-2440mm,,
8mm Acme Nut Plate.step,,4,0,OpenBuilds,,,,$6.99
Aluminum Spacer 1.5in.step,,6,0,OpenBuilds,,,
Ball Bearing 5 x 16 x 5.step,,28,0,,,,,+0
Ball Bearing 8 x 16 x 5.step,,4,0,OpenBuilds,,,,$0.99
Black Angle Corner Connector.step,,21,0,OpenBuilds,,,,$2.99
Cast Corner Bracket.step,,7,0,OpenBuilds,,,,$1.49
Cube Corner Connector.step,,6,0,OpenBuilds,,,,$3.49
Eccentric Spacer 6mm.step,,12,0,OpenBuilds,,,,$1.99
Flexible Coupling 5mm x 8mm.step,,2,0,OpenBuilds,,,,$6.99
gantryPlate.fcstd,,5,0,eMachineShop,,,,$31.00
Grease Nipple M6.STEP,,2,0,Amazon,,,,$0.50
GT2 Timing Pulley 14 Tooth.step,,2,0,OpenBuilds,,,,$5.29
Idler Pulley Plate.step,,2,0,OpenBuilds,,,,$6.99
Joining Plate 90 Degree.step,,14,0,OpenBuilds,,,,$4.99
Joining Plate T.step,,7,0,OpenBuilds,,,,$3.99
L Bracket Triple.step,,3,0,OpenBuilds,,,,$1.99
LeadScrew_8mm-520mm.fcstd,,2,0,OpenBuilds,,,,$21.99
Lock Collar 8mm.step,,4,0,OpenBuilds,,,,$0.99
LulzBotExtruder_Carriage_Block.fcstd,,1,0,,,,
LulzBot_Extruder-LulzBot_Mount,,1,0,,,,,$200.00
Micro Limit Switch Plate.step,,3,0,OpenBuilds,,,,$7.00
Motor Mount Plate Nema 17.step,,2,0,OpenBuilds,,,,$6.99
Nema 17 Stepper Motor.step,,4,0,OpenBuilds,,,,$17.99
Nylon Spacer 0.125in.step,,2,0,,,,,+0
paper binder1.fcstd,,4,0,Amazon,,,
Precision Shim 10 x 5 x 1.step,,2,0,,,,,+0
Precision Shim 8 x 5 x 1.step,,24,0,,,,,+0
ShimFlexiblePreload-8mm.fcstd,,2,0,,,,
Shim Washer 8mm.step,,6,0,OpenBuilds,Shim - 12 x 8 x 1mm,,,$0.29
Smooth Idler Pulley Wheel.step,,2,0,OpenBuilds,,,,$5.99
SS_01GL_E.FCStd,,3,0,,LimitSwitch,,
TAZ 5 Y Plate Assembly V0.21-slab_legacy_only.step,,1,0,,,,,$200
ThinHexNut-Modified Nylon Insert Lock Nut M5.step,,12,0,OpenBuilds,,,,$0.10
Threaded Rod Plate Nema 17-Idler.fcstd,,2,0,OpenBuilds,,,,$7.99
Threaded Rod Plate Nema 17.step,,2,0,OpenBuilds,,,,$7.99
V-Slot 20x20x140mm.FCStd,,3,0,OpenBuilds,,,,x2
V-Slot 20x20x220mm.FCStd,,1,0,OpenBuilds,,,,x1
V-Slot 20x20x40mm.FCStd,,1,0,OpenBuilds,,,,x2
V-Slot 20x20x540mm.FCStd,,2,0,OpenBuilds,,,,x1
V-Slot 20x20x60mm.FCStd,,2,0,OpenBuilds,,,,x2
V-Slot 20x20x80mm.FCStd,,1,0,OpenBuilds,,,,x2
V-Slot 20x40x120mm.FCStd,,2,0,OpenBuilds,,,
V-Slot 20x40x500mm.FCStd,,2,0,OpenBuilds,,,,$6.99
V-Slot 20x60x220mm.fcstd,,1,0,OpenBuilds,,,
V-Slot 20x60x760mm.fcstd,,1,0,OpenBuilds,20x60 x1000mm,,
Xtreme Solid V Wheel.step,,12,0,OpenBuilds,,,,$6.99
XYplate.fcstd,,1,0,eMachineShop,,,,$72.00
